date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
11/04/2020,420,110,1337,219,8216,763,463,68,4237,1608,272,150,1636,441,243,269,361,683,125,889,1053,1327,713,167,574,83,137,727,168,1168,276,4664,829,21,1366,285,875,1766,118,567,48,853,3723,217,78,1095,798,171,610,33,47020
12/04/2020,1457,360,4121,864,27264,2437,1870,283,14002,5222,801,715,5444,1635,830,931,1255,2041,614,3021,3664,4373,2737,432,1813,297,537,2224,602,4090,704,17294,2888,129,4769,999,2853,6066,310,1769,202,2967,11869,674,224,3845,2618,600,1939,131,158786
13/04/2020,1903,392,5217,998,33669,3200,2331,376,17828,6340,939,775,7218,2158,1058,1095,1536,2556,701,3965,5001,5712,3543,589,2394,410,626,2674,800,5289,855,21330,3773,146,6513,1317,3462,7927,499,2297,219,3857,14955,923,277,5185,3346,798,2587,163,201722
14/04/2020,1836,454,5021,1000,32647,3138,2162,356,16637,6144,909,784,6788,2174,1035,1020,1501,2485,676,3832,4899,5248,3196,577,2292,357,613,2726,651,4866,873,20737,3616,140,6266,1225,3261,7739,497,2179,207,3682,14269,1037,279,4784,3229,777,2375,152,193348
15/04/2020,1780,407,5154,998,32840,3118,2272,328,16603,6178,975,797,6757,2266,960,934,1631,2437,621,3805,5011,5609,3219,591,2276,374,699,2525,758,5039,821,20072,3714,147,6314,1207,3316,7690,470,2218,289,3678,14469,957,243,4939,3283,777,2546,162,194274
16/04/2020,1869,416,5132,1053,33802,3237,2253,360,16988,6131,944,746,6724,2243,1044,1115,1568,2455,703,3765,5021,5514,3070,572,2333,360,675,2654,776,5215,849,20719,3745,134,6064,1238,3390,7618,481,2220,242,3720,14597,983,279,4796,3370,831,2448,143,196605
17/04/2020,1199,264,3794,631,24594,2324,1535,256,11788,4014,655,495,4751,1484,832,742,1041,1680,387,2558,3185,3861,2675,420,1601,249,468,1979,480,3404,659,14250,2551,102,4568,947,2529,5277,275,1583,184,2739,10432,690,163,3383,2421,489,1852,109,138549
18/04/2020,1570,465,5051,892,31902,3063,2174,341,16395,5742,906,723,6231,2018,1010,987,1269,2241,564,3292,4233,4949,3189,536,2134,355,554,2643,740,5179,854,19019,3355,159,5959,1196,3559,7590,415,2029,206,3803,13662,826,257,4563,3002,851,2470,155,185278
19/04/2020,1820,447,5229,934,32409,3383,2206,354,16358,6338,928,727,6452,2143,998,991,1365,2460,628,3613,4515,5302,3382,536,2148,380,566,2727,767,5070,939,19638,3384,148,6138,1219,3548,7591,422,2322,176,3849,14318,880,303,4815,3339,755,2537,181,191678
20/04/2020,1693,442,5326,1019,33492,3360,2276,382,16326,7406,992,718,6871,2254,1105,1057,1448,2432,670,4052,5053,6024,3302,534,2258,359,620,2650,787,5304,871,20968,3670,186,6380,1213,3627,8081,432,2277,251,3720,14038,1009,295,5140,3466,729,2641,149,199355
21/04/2020,1792,490,5408,1006,33462,3104,2276,426,16898,7116,1009,765,7058,2243,1093,1063,1505,2522,705,4055,5144,5609,3288,576,2304,351,662,2842,783,5222,845,21292,3828,153,6421,1223,3723,8229,461,2227,226,3786,14534,989,263,5258,3553,718,2725,165,201396
22/04/2020,1435,327,4017,886,27756,2473,1861,314,13563,5313,731,650,5728,1803,839,867,1443,1996,546,3278,4140,4331,2528,464,1841,295,501,2159,653,4108,680,17206,3076,102,5216,1073,2949,6280,391,1794,180,2868,11862,785,235,4218,2898,648,2051,145,161503
23/04/2020,1920,473,5590,1091,35958,3429,2464,417,17094,6835,980,835,7571,2296,1116,1152,1720,2634,662,4173,5388,5913,3314,582,2604,372,638,2733,859,5649,1105,22822,4227,157,6805,1410,3673,8267,508,2447,199,3958,14778,1090,292,5329,3731,849,2720,171,211000
24/04/2020,1687,451,4994,1006,33232,3042,2221,344,15887,6231,925,686,6823,1994,1066,993,1479,2450,620,3898,4757,5067,3072,490,2260,319,624,2567,747,5183,976,20301,3652,140,5911,1145,3449,7557,510,2025,210,3483,13576,933,253,4892,3276,772,2406,174,190756
25/04/2020,1551,465,4888,847,29870,2614,1945,339,15547,5710,912,652,5950,1889,867,884,1348,2344,597,3265,3988,4749,2675,584,1959,305,494,2525,609,4826,788,17785,3316,108,5409,1126,3325,6832,407,2003,203,3601,12543,747,214,4449,3023,738,2214,172,174201
26/04/2020,1682,457,4673,863,29948,2693,2139,336,15656,5789,875,725,5962,1862,894,970,1342,2151,582,3268,4153,4608,2942,448,2019,277,539,2703,653,4920,779,18561,3242,116,5689,1162,3272,7198,358,2141,172,3593,12519,827,243,4389,3113,744,2218,164,176629
27/04/2020,1520,368,4197,872,27727,2529,2069,290,14010,5351,712,673,5810,1870,992,903,1190,2033,567,3335,4425,4318,2543,470,1919,319,529,2409,685,4584,757,17799,3225,123,5354,1064,2886,6890,373,1881,194,3181,12045,739,227,4312,2804,692,2117,140,166022
28/04/2020,1217,342,4202,689,27932,2388,1581,282,11743,4501,717,515,5154,1558,876,730,1096,1677,423,2828,3336,3490,2345,376,1572,253,458,2187,533,3732,686,14514,2756,92,4209,902,2738,5593,345,1431,149,2695,11226,691,175,3309,2813,527,1814,115,145513
29/04/2020,83,36,433,54,3085,208,83,23,766,343,77,46,413,97,40,39,102,137,29,173,158,226,176,38,100,35,26,256,14,238,66,1003,125,5,306,73,297,385,18,90,16,241,1223,104,5,197,276,47,119,12,12142
